Product Name, ID, Price,Fri May 05 2017 23:44:40 GMT-0400 (EDT),Sat May 06 2017 03:44:39 GMT-0400 (EDT),Sat May 06 2017 07:44:38 GMT-0400 (EDT),Sat May 06 2017 11:44:38 GMT-0400 (EDT),Sat May 06 2017 15:44:37 GMT-0400 (EDT),Sat May 06 2017 19:44:36 GMT-0400 (EDT),Sat May 06 2017 23:44:37 GMT-0400 (EDT),Sun May 07 2017 03:44:36 GMT-0400 (EDT),Sun May 07 2017 17:10:22 GMT-0400 (EDT)
jesus-3d-pop-up-easter-card,12311706177,13,642,642,642,0,640,640,0,638,638
just-because-card-twelve-pack,28350013057,109,0,26,26,0,25,25,0,25,23
kevin-o-leary-shark-tank-pop-up-card,10715810433,10,0,311,311,0,309,309,308,308,306
las-vegas-dice-pop-up-card,5461586497,10,0,0,395,394,394,394,0,394,0
las-vegas-showgirl-pop-up-card,5461586561,10,0,0,696,696,696,696,0,695,0
las-vegas-sign-pop-up-card,5461586689,13,565,565,565,0,562,562,0,0,558
laughing-buddha-pop-up-card,30860300557,13,347,347,347,0,345,345,0,343,343
leprechaun-3d-pop-up-st-patricks-day-greeting-card,11941878145,10,938,938,938,0,937,937,0,936,935
life-events-pop-up-card-ten-pack,10618514689,89,0,46,46,0,44,44,0,43,43
love-bear-valentines-day-3d-pop-up-card,10684538177,13,0,1599,1599,1553,1553,1553,NaN,NaN,0
love-cupcake-pop-up-card,30411995853,13,129,129,129,0,114,114,0,96,80
lovebirds-3d-pop-up-love-card,10684586177,13,72,72,72,0,58,58,0,52,42
lovers-dogwood-tree-pink-pop-up-card,1095371505,10,453,453,453,0,410,410,0,369,335
lovers-dogwood-tree-yellow-pop-up-card,6661436097,10,1255,1255,1255,0,1240,1240,0,1218,1197
lovers-in-a-dogwood-tree-male-3d-pop-up-gay-valentines-day-card,11643340737,10,0,1148,1148,1144,1144,1144,0,1138,0
lucky-cat-pop-up-card,32652152141,13,0,986,986,980,980,980,964,964,0
lucky-clover-3d-pop-up-st-patricks-day-greeting-card,11970182273,10,0,1396,1396,0,1395,1395,0,1393,1392
manger-nativity-pop-up-christmas-card,21802648321,13,0,3780,3780,3780,3780,3780,3780,3780,0
mayflower-ship-3d-pop-up-card,22637467137,13,0,217,217,0,216,216,0,216,215
mothers-day-floral-card-pack,34944477581,49,144,144,144,0,23,23,0,0,0
nativity-christmas-card,7244234945,13,0,1371,1371,0,0,1370,1370,1370,1370
nautical-card-5-pack,26630732545,49,46,46,46,0,46,46,0,45,43
new-baby-card-5-pack,16757002625,39,16,16,16,0,15,15,14,14,0
new-year-tuxedo-bear-3d-pop-up-new-year-card,10508539969,13,0,1288,1288,0,1288,1288,0,1288,1288
new-york-ball-drop-3d-pop-up-new-year-card,10507486017,10,0,2901,2901,0,2901,2901,2901,2901,2901
new-york-city-3d-pop-up-shark-tank-card,10713992449,13,0,366,366,0,364,364,0,363,362
ninja-card,22637217025,13,0,177,177,174,174,174,164,164,0
oculus-new-york-pop-up-card,30551811533,15,288,288,288,287,287,287,0,286,286
original-lovepop-pop-up-card,1095371809,10,5,5,5,0,0,0,0,0,0
ornament-pop-up-card,1095371577,10,0,0,1331,1331,1331,1331,0,1330,0
ornate-floral-bouquet-blue-pop-up-card,1095371765,13,0,564,564,512,512,512,321,321,0
ornate-floral-bouquet-purple-pop-up-card,6661347905,13,1290,1290,1290,0,1192,1192,1093,1093,0
otter-mom-pop-up-animal-card,17376096193,10,646,646,646,0,590,590,548,548,0
paris-love-scene-pop-up-card,30412574861,15,0,1024,1024,1009,1009,1009,984,984,0
pastel-party-hat-3d-pop-up-birthday-card,10631215169,10,0,0,682,682,682,682,0,681,0
peace-sign-3d-pop-up-card,10364942145,10,0,190,190,0,189,189,188,188,184
penguin-dad-kirgami-card,18482160321,10,0,47,47,32,32,32,0,0,0
pi-day-pie-3d-pop-up-card,16542272129,13,0,0,61,61,61,61,0,60,0
pop-up-basketball-birthday-card,10685411329,13,0,194,194,0,191,191,0,190,189
pop-up-bear-graduation-card,34276503437,13,0,96,96,87,87,87,56,56,0
pop-up-boxing-card,23488222081,13,419,419,419,0,418,418,0,416,415
pop-up-diwali-card,8130209921,13,0,2149,2149,2148,2148,2148,2147,2147,0
pug-cake-smash-3d-pop-up-birthday-card,10672158017,10,183,183,183,0,167,167,153,153,0
puppy-bath-time-3d-card,17577391681,10,0,82,82,0,74,74,0,66,61
racing-runner-pop-up-card,17544925953,10,924,924,924,0,919,919,0,0,912
rainbow-bridge-card,30412383437,13,195,195,195,0,187,187,184,184,171
reindeer-with-presents-3d-pop-up-christmas-card,10492399361,13,0,917,917,917,917,917,917,917,0
release-the-kraken-pop-up-birthday-card,10728548993,13,3,3,3,0,0,0,0,0,0
republican-elephant-3d-pop-up-greeting-card,24305920513,10,362,362,362,362,362,362,362,362,0
rocket-ship-3d-pop-up-fathers-day-card,18482776321,13,0,186,186,183,183,183,176,176,0
rose-bouquet-3d-pop-up-valentines-day-card,10684449089,13,219,219,219,0,0,0,0,0,0
saguaro-cactus-3d-pop-up-card,22534066177,13,19,19,19,16,16,16,10,10,0
sailboat-3d-pop-up-card,18668618497,13,75,75,75,0,69,69,0,0,59
santa-hammock-christmas-card,7244238401,13,0,417,417,0,0,417,416,416,0
santa-motorcycle-christmas-card,21799441409,13,35,35,35,35,35,35,0,31,31
santa-on-the-move-3-pack,26634449025,33,38,38,38,38,38,38,0,38,38
santa-sleigh-christmas-card,7244234689,13,0,3111,3111,0,0,3105,3104,3104,3103
scaredy-cat-3d-pop-up-greeting-card,11122699905,10,0,272,272,0,271,271,0,269,262
shark-tank-roberts-sports-car-3d-pop-up-birthday-card,10724571521,13,40,40,40,0,32,32,0,28,19
slot-machine-pop-up-card,5461585729,10,0,0,313,313,313,313,0,312,0
snake-3d-pop-up-birthday-card,18585141633,13,141,141,141,0,139,139,0,136,135
snowflake-blizzard-12-pack-3d-pop-up-holiday-winter-cards,10694153921,99,0,4,4,0,3,3,0,3,3
snowflake-tree-holiday-card,21869606273,13,0,257,257,0,0,257,256,256,253
snowman-christmas-card,21800557441,13,0,4654,4654,0,0,4654,4652,4652,0
sparkling-snowflake-pop-up-card,1095371525,13,3,3,3,2,2,2,2,2,0
spooky-halloween,7244238785,13,154,154,154,153,153,153,0,151,151
springtime-picnic-3d-pop-up-greeting-card,17290392705,15,575,575,575,0,551,551,0,527,487
statue-of-liberty-3d-pop-up-card,29056442061,13,0,36,36,0,32,32,0,31,30
steamboat-3d-pop-up-greeting-card,10607692417,13,190,190,190,0,186,186,184,184,0
stork-blue-pop-up-card,1095372853,10,0,109,109,0,0,0,0,102,96
stork-pink-pop-up-card,6662291841,10,651,651,651,0,643,643,0,0,631
surfer-pop-up-card,3308268481,13,0,91,91,0,88,88,79,79,77
swans-3d-pop-up-love-card,10684719617,10,0,110,110,0,106,106,0,97,82
t-rex-dad-pop-up-dinosaur-card,18481611137,13,249,249,249,0,241,241,0,236,233
t-rex-dinosaur-christmas-card,21870388801,13,74,74,74,74,74,74,0,73,73
t-rex-pop-up-dinosaur-card,18581784385,13,244,244,244,0,227,227,221,221,0
taxi-3d-pop-up-card,23625256257,13,0,146,146,0,144,144,0,143,142
teachers-apple-pop-up-card,18669557185,13,282,282,282,0,267,267,0,249,241
thanksgiving-card,7244239361,10,0,0,191,191,191,191,0,189,0
the-reason-for-the-season-10-pack,28258568385,99,7,7,7,7,7,7,0,7,7
the-seasons-greetings-christmas-10-pack-1,28325783361,99,0,102,102,102,102,102,0,101,0
the-young-america-clipper-ship-pop-up-card,1095371557,13,357,357,357,352,352,352,343,343,0
train-3d-pop-up-birthday-card,18669645697,15,139,139,139,0,127,127,0,114,98
tropical-christmas-3-pack,27962949505,33,0,51,51,51,51,51,51,51,0
turkey-3d-pop-up-thanksgiving-card,8078102209,10,0,0,377,377,377,377,0,373,0
turtle-3d-pop-up-love-card,10684760641,13,0,3177,3177,3157,3157,3157,3089,3089,0
usa-bear,20632494401,13,138,138,138,0,134,134,0,133,132
uscg-eagle-military-card,18669934977,13,121,121,121,120,120,120,117,117,0
vampire-coffin-pop-up-card,7244233985,10,0,260,260,260,260,260,259,259,0
vibrant-party-hat-3d-pop-up-birthday-card,10632744513,10,0,0,553,553,553,553,0,553,0
viking-pop-up-card,30860166285,13,1277,1277,1277,0,1268,1268,0,1256,1248
